Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
0,2025-11-29 23:59:44.231677,121835736,B,34,132,11,19
0,2025-11-30 00:00:15.654063,12184189167,B,14,25,5,6
0,2025-11-30 00:16:22.734587,121833859,B,28,77,11,12
0,2025-11-30 00:16:41.028734,121833859,B,0,1,0,1
0,2025-11-30 00:17:28.488732,12184102124,B,36,82,10,13
0,2025-11-30 00:17:44.814430,12184102124,B,0,0,0,0
0,2025-11-30 00:19:42.186012,12184189167,B,10,10,4,3
0,2025-11-30 00:32:23.915460,12184102124,B,50,26,9,7
0,2025-11-30 00:32:36.355473,12184102124,B,0,0,0,0
0,2025-11-30 00:32:38.178487,12184102124,B,0,0,0,0
0,2025-11-30 00:49:13.310312,12185199220,B,16,29,3,5
0,2025-11-30 01:04:47.928962,121833859,B,19,93,9,14
0,2025-11-30 01:05:08.828325,121833859,B,0,0,0,0
0,2025-11-30 01:32:26.477662,12185199220,B,0,67,0,9
0,2025-11-30 01:32:37.031156,12185199220,B,0,10,0,1
0,2025-11-30 01:32:38.789541,12185199220,B,0,3,0,0
0,2025-11-30 01:34:05.922681,12184189167,B,13,34,3,5
0,2025-11-30 01:44:30.725034,12184189167,B,13,71,4,10
0,2025-11-30 01:48:04.297120,121835736,B,10,63,4,9
0,2025-11-30 01:50:23.398388,12184189167,B,5,83,2,10
0,2025-11-30 01:58:23.534105,121835736,B,17,124,8,18
0,2025-11-30 02:07:25.598811,121835736,B,13,109,5,16
0,2025-11-30 02:16:43.224310,121835736,B,18,74,8,15
0,2025-11-30 02:20:29.670077,12185199220,B,15,32,5,7
0,2025-11-30 02:23:13.973253,12184102124,B,7,129,5,11
0,2025-11-30 02:23:26.814117,12184102124,B,0,0,0,0
0,2025-11-30 02:23:47.792431,121833859,B,29,35,9,10
0,2025-11-30 02:24:00.729516,121833859,B,0,0,0,0
0,2025-11-30 02:24:06.469188,12184189167,B,10,19,3,4
0,2025-11-30 02:30:51.928448,12184102124,B,18,83,6,12
0,2025-11-30 02:31:05.744887,12184102124,B,0,0,0,0
0,2025-11-30 02:38:39.687183,121835736,B,10,82,5,13
0,2025-11-30 04:40:17.655177,121833859,B,16,48,6,8
0,2025-11-30 04:40:27.410085,121833859,B,1,2,0,1
0,2025-11-30 04:45:37.962862,121833859,B,12,42,4,7
0,2025-11-30 04:45:48.085151,121833859,B,0,0,0,0
0,2025-11-30 04:46:08.490041,121835736,B,20,21,10,10
0,2025-11-30 04:47:21.807679,12184102124,B,30,44,11,13
0,2025-11-30 04:47:38.660272,12184102124,B,0,0,0,0
0,2025-11-30 04:48:36.914691,12185199220,B,14,18,6,5
0,2025-11-30 04:48:45.132778,12185199220,B,4,6,3,3
0,2025-11-30 04:49:15.579812,12184189167,B,12,21,5,5
0,2025-11-30 04:51:12.695441,12184189167,B,43,44,10,10
0,2025-11-30 04:53:19.085528,121835736,B,34,42,8,8
0,2025-11-30 04:53:53.944109,12184102124,B,25,28,9,9
0,2025-11-30 04:54:06.577401,12184102124,B,0,0,0,0
0,2025-11-30 04:54:10.062889,12184102124,B,0,0,0,0
0,2025-11-30 04:54:12.317242,12184102124,B,0,0,0,0
0,2025-11-30 04:57:22.989283,121835736,B,30,63,11,13
0,2025-11-30 05:05:29.265034,121835736,B,0,0,0,0
0,2025-11-30 05:14:00.519386,121835736,B,4,120,2,14
0,2025-11-30 06:20:11.755487,121833859,B,31,88,10,14
0,2025-11-30 06:20:31.839083,121833859,B,0,0,0,0
0,2025-11-30 06:27:10.613680,12184102124,B,11,60,4,9
0,2025-11-30 06:27:22.207838,12184102124,B,0,0,0,0
0,2025-11-30 06:30:44.457087,12185199220,B,30,45,10,13
0,2025-11-30 06:31:02.877637,12185199220,B,0,0,0,0
0,2025-11-30 06:39:47.098827,12184102124,B,8,85,5,12
0,2025-11-30 06:40:02.145614,12184102124,B,0,0,0,0
0,2025-11-30 07:11:18.501260,12184189167,B,9,10,2,2
0,2025-11-30 07:13:06.437862,121835736,B,10,119,5,17
0,2025-11-30 07:17:01.979837,12184189167,B,6,17,3,5
0,2025-11-30 07:17:10.438808,12184189167,B,3,4,1,2
0,2025-11-30 07:20:10.365821,12184102124,B,4,116,2,17
0,2025-11-30 07:20:29.187540,12184102124,B,0,0,0,0
0,2025-11-30 07:20:49.526976,121833859,B,47,54,12,12
0,2025-11-30 07:21:05.695450,121833859,B,0,0,0,0
0,2025-11-30 07:22:14.517671,12184189167,B,9,23,5,6
0,2025-11-30 07:25:38.192357,121835736,B,18,105,8,16
0,2025-11-30 07:30:53.335887,121833859,B,21,53,7,10
0,2025-11-30 07:31:12.762243,121833859,B,0,0,0,0
0,2025-11-30 07:36:34.766233,12184189167,B,7,56,3,7
0,2025-11-30 07:40:51.831734,121835736,B,12,92,5,15
0,2025-11-30 09:10:24.477289,121835736,B,6,177,3,23
0,2025-11-30 09:15:07.144510,121835736,B,7,98,4,14
0,2025-11-30 09:16:09.236126,12185199220,B,5,16,2,3
0,2025-11-30 09:16:13.649880,12185199220,B,4,4,1,1
0,2025-11-30 09:16:14.977747,12185199220,B,8,6,2,2
0,2025-11-30 09:19:37.289958,12184102124,B,9,117,5,14
0,2025-11-30 09:19:56.239172,12184102124,B,0,0,0,0
0,2025-11-30 09:30:07.530660,121833859,B,22,90,7,13
0,2025-11-30 09:30:26.783579,121833859,B,0,0,0,0
0,2025-11-30 09:35:01.152047,12184102124,B,3,133,2,17
0,2025-11-30 09:35:20.705831,12184102124,B,0,0,0,0
