Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
0,2025-11-25 23:59:10.098263,121835736,B,25,25,10,10
0,2025-11-26 00:09:08.943047,12184102124,B,49,29,15,13
0,2025-11-26 00:09:32.929215,12184102124,B,0,0,0,0
0,2025-11-26 01:20:38.660057,121835736,B,33,22,8,7
0,2025-11-26 01:22:31.444803,121835736,B,23,27,10,10
0,2025-11-26 01:28:16.193718,121835736,B,35,31,12,14
0,2025-11-26 01:34:28.526711,121835736,B,24,17,10,9
0,2025-11-26 02:03:03.572617,12184102124,B,28,28,9,10
0,2025-11-26 02:03:19.772282,12184102124,B,0,0,0,0
0,2025-11-26 02:17:41.074993,121833859,B,0,1,0,1
0,2025-11-26 02:17:42.546037,121833859,B,40,29,13,11
0,2025-11-26 02:18:00.712963,121833859,B,0,0,0,0
0,2025-11-26 02:21:13.737515,121833859,B,25,25,9,9
0,2025-11-26 02:21:28.161770,121833859,B,0,0,0,0
0,2025-11-26 02:34:32.374489,12185199220,B,5,7,3,4
0,2025-11-26 02:34:39.363194,12185199220,B,8,4,4,2
