,2
13,3
11,5
11,3
12,3
12,2
11,3
12,4
12,3
12,3
11,5
10,2
12,0
12,5
12,3
13,3
12,3
12,3
11,4
11,2
11,4
12,5
12,2
12,2
12,5
10,2
13,2
13,5
11,3
13,1
12,2
12,3
11,4
12,3
12,4
11,5
11,3
12,0
12,5
11,3
13,3
13,3
11,3
11,4
11,2
12,4
12,5
12,2
12,4
11,6
10,3
14,2
12,5
12,3
12,2
12,2
12,2
11,4
12,2
12,4
12,4
10,3
12,0
12,5
11,3
13,3
12,3
12,3
11,4
12,2
12,3
12,4
12,2
12,1
12,5
12,4
13,2
13,6
12,3
13,2
12,2
11,3
12,4
11,1
12,3
11,0
10,0
12,0
12,5
11,3
13,3
13,4
12,3
11,5
11,3
12,4
12,5
12,3
12,2
11,6
12,4
13,3
12,6
11,4
12,3
12,2
11,3
11,4
12,4
12,4
11,5
10,3
12,0
12,6
12,3
13,4
13,3
12,4
11,4
12,3
12,3
12,5
12,4
12,4
12,6
11,5
14,3
12,7
12,4
13,4
13,3
12,4
12,4
13,3
12,5
12,6
14,4
13,4
13,7
12,4
14,4
13,5
13,4
13,3
13,4
13,5
12,5
13,2
13,6
12,4
13,4
14,4
13,6
12,5
13,4
13,3
12,3
11,5
13,3
13,5
12,5
13,4
12,2
13,6
12,4
14,4
14,5
12,4
13,5
13,9
883,5
14,3
13,5
12,7
11,9
15842,10
14,3
13833,8
2475,9
6759,10
13,9
13,11
13,4
13,10
259,3
12,10
12,3
12,7
12,2
13,4
12,4
12,3
12,2
12,6
12,4
13,3
12,6
12,4
13,4
12,2
12,4
11,4
12,4
12,4
12,5
11,3
12,1
12,7
12,4
13,4
13,4
11,3
12,4
12,4
12,4
12,4
13,4
12,2
12,6
13,4
13,3
13,4
12,5
12,3
12,4
12,4
12,5
12,4
12,5
11,6
10,4
13,3
12,8
12,5
13,3
12,3
12,3
11,5
12,3
12,4
12,5
13,3
12,1
12,6
12,3
13,3
13,4
12,4
11,3
12,3
12,3
11,5
13,4
12,4
12,4
13,4
13,3
12,7
12,5
13,4
12,3
12,3
11,4
13,4
12,5
12,5
14,5
12,4
12,6
11,4
14,4
13,5
11,4
12,3
12,3
12,4
12,5
12,2
13,8
12,5
10,5
13,2
12,7
12,5
12,4
12,4
12,4
11,4
13,4
12,6
11,6
14,4
12,5
12,6
12,4
13,4
13,4
11,4
12,4
12,3
11,5
12,5
13,4
12,4
12,4
13,4
13,2
12,6
12,4
13,4
12,2
12,4
12,5
13,4
12,4
12,5
12,4
12,1
12,7
12,4
13,3
13,5
12,4
11,4
12,3
13,4
13,5
13,3
12,5
12,6
10,4
13,3
13,8
12,6
14,3
360,9
13,6
14,4
14,3
12,13
50,12
1353,8
8,7
1854,5
16,4
13,4
1110,7
1490,4
15,10
1530,8
1751,4
1706,7
1716,6
15,4
13,9
13,5
12,6
430,6
12,12
261,3
910,12
154,8
1256,10
1421,4
15,4
13,5
12,8
13,4
12,5
12,4
12,8
328,9
310,8
289,4
1952,5
15,4
300,5
12,5
744,7
13,6
1006,7
1275,7
1733,5
1726,8
1675,7
1728,4
16,9
111,2
13,10
1343,9
244,8
13,5
704,11
35,4
1340,9
13,7
12,7
14,4
13,9
1146,4
18,3
17,11
263,8
2088,6
1675,4
14,4
12,10
110,11
1099,8
1675,7
748,6
12,7
1961,4
15,8
308,9
12,10
1095,3
12,13
275,5
12,8
481,10
1297,7
1703,8
1727,8
1694,8
1718,7
1714,8
1694,7
1704,4
16,8
322,4
11,11
1214,1
13,6
11,0
13,5
342,2
13,7
772,8
156,7
1256,6
241,5
1274,6
17,11
22,7
681,0
16,6
1265,4
1308,5
15,1
14,3
12,2
1984,5
1698,5
1693,1
1724,1
15,1
319,6
12,3
753,5
11,4
1001,3
1271,5
1745,5
16,5
301,6
12,2
14,0
13,0
12,5
12,2
13,1
11,4
11,2
11,2
12,1
12,2
12,3
13,2
12,2
12,3
12,2
13,1
12,4
12,3
13,1
12,2
12,3
12,3
12,2
12,2
11,3
10,1
12,0
12,6
12,3
14,3
13,2
11,3
12,2
12,3
12,4
11,5
13,3
13,2
12,6
12,3
13,2
13,5
12,3
11,4
11,3
11,4
12,4
13,3
13,4
12,4
10,3
13,3
12,7
11,4
12,3
12,1
12,4
12,3
12,3
12,2
12,5
11,1
12,1
12,6
11,4
14,3
12,4
11,3
11,4
11,3
12,5
12,5
13,3
13,4
12,6
11,3
14,3
12,5
11,3
11,4
12,2
12,3
11,4
13,3
12,2
12,4
13,3
13,3
12,4
13,5
12,2
12,3
11,3
11,4
12,2
11,5
12,5
11,3
13,0
12,6
12,4
13,3
13,4
12,3
12,4
12,3
12,4
12,4
12,3
12,2
12,5
12,4
14,3
13,5
12,4
12,3
12,3
12,2
12,4
12,2
12,5
12,4
13,3
13,2
12,8
12,4
13,3
12,4
12,4
11,4
12,2
12,4
11,4
13,3
13,4
12,6
11,3
14,3
12,5
11,3
11,4
12,2
12,4
12,4
12,2
12,4
11,4
10,4
13,1
12,6
12,3
13,3
12,2
12,3
12,4
12,2
12,4
12,5
12,4
12,2
12,6
11,4
13,3
13,4
11,3
12,3
12,3
12,4
12,5
13,3
13,5
11,5
10,3
13,2
12,6
11,2
12,3
12,1
11,3
11,3
13,3
12,3
12,5
13,3
13,2
12,8
12,4
13,3
12,2
11,3
12,4
12,3
12,4
12,5
13,4
13,4
12,6
12,3
13,3
12,3
12,3
11,4
12,3
12,3
12,3
13,3
12,2
12,5
11,2
13,3
12,4
11,4
12,3
12,3
12,3
12,4
12,3
12,5
11,5
10,3
13,2
13,6
11,4
13,3
11,3
12,3
11,3
13,3
12,5
11,5
13,3
12,2
12,5
12,2
13,3
13,2
11,3
12,2
12,3
12,3
12,5
13,2
12,4
12,6
12,4
14,3
12,6
12,4
12,4
12,2
12,3
12,4
12,3
12,3
12,4
13,4
13,2
11,6
11,5
13,2
12,4
12,4
12,4
12,3
12,2
12,5
10,2
12,1
13,5
11,5
13,2
12,4
12,3
11,4
12,3
12,3
12,5
12,3
12,0
12,6
11,4
13,3
13,4
11,2
11,5
12,2
12,3
11,5
12,3
12,2
12,5
11,3
14,2
13,5
11,4
12,3
12,2
12,2
12,4
13,2
12,3
12,3
11,4
13,2
12,7
12,4
13,4
11,2
13,3
12,4
12,3
12,4
12,5
13,4
13,2
12,7
11,4
12,2
12,2
12,3
11,4
12,3
12,4
12,5
13,2
13,4
12,5
12,4
13,3
12,3
11,2
11,4
12,3
12,4
12,5
13,3
12,4
12,5
11,3
14,3
12,0
11,0
10,0
12,0
12,0
12,2
13,1
12,1
12,1
13,1
12,0
12,4
12,3
12,0
13,1
11,0
11,3
12,0
13,2
11,2
11,2
13,0
12,5
11,3
13,2
13,4
12,3
11,4
12,3
12,3
12,4
12,2
12,1
12,5
11,3
13,4
13,5
11,4
13,2
12,2
11,3
12,3
12,2
12,4
11,3
13,3
13,2
12,7
13,3
13,3
12,2
11,3
11,4
12,3
12,3
12,5
13,3
12,0
11,5
12,3
13,2
12,4
12,2
12,3
12,2
12,4
12,4
13,2
12,3
12,4
12,3
13,2
12,6
12,3
13,2
12,2
12,3
12,2
13,2
12,3
11,5
11,3
12,0
12,6
11,3
13,3
13,3
12,1
12,4
12,3
12,3
11,5
13,3
12,4
12,5
11,5
14,3
13,5
11,3
12,4
12,1
12,3
12,3
13,3
12,2
12,4
13,3
13,2
12,4
12,5
12,2
12,3
12,3
12,4
12,3
13,4
12,5
10,3
11,0
11,7
11,4
14,2
12,3
11,2
12,3
12,2
12,4
12,5
14,2
13,2
12,5
11,3
13,3
12,3
11,3
12,2
12,2
12,3
12,5
13,1
12,6
12,4
10,2
13,2
12,5
12,3
12,3
11,2
11,4
12,3
13,2
12,4
12,4
13,3
13,2
12,7
12,4
14,3
11,2
11,3
11,4
12,3
11,1
12,4
12,2
12,1
12,5
11,3
13,1
12,4
11,2
12,3
12,2
12,4
12,4
12,3
12,5
13,6
10,3
13,2
12,6
12,3
12,2
12,1
12,3
11,4
12,2
12,3
12,5
13,4
13,3
12,7
12,4
13,2
12,3
11,2
11,4
13,2
12,3
12,3
13,3
12,0
11,5
12,3
13,4
13,4
11,2
12,3
12,2
12,4
12,4
12,2
12,5
12,4
10,3
13,2
12,6
12,3
13,2
12,2
12,3
12,4
12,2
12,3
12,3
14,4
13,1
12,7
11,3
13,3
12,2
12,3
11,5
12,3
12,2
12,4
13,3
12,0
11,5
11,3
13,3
13,4
11,2
12,3
12,3
12,4
12,4
12,3
13,4
11,5
11,3
13,2
12,5
11,3
12,3
11,1
11,2
13,3
12,3
12,3
11,5
13,3
13,2
12,7
12,3
12,3
12,3
12,3
12,4
12,3
12,3
12,5
12,3
12,3
12,5
11,3
13,3
12,4
11,4
11,4
11,2
12,3
12,4
12,3
12,1
12,6
11,2
13,3
13,4
12,3
12,2
12,2
12,3
12,4
12,2
12,3
12,4
13,3
13,2
12,5
11,4
13,3
12,3
11,3
11,3
12,2
12,3
13,5
10,3
12,0
12,6
11,4
13,3
12,2
11,3
12,3
12,3
12,2
12,4
13,2
12,3
12,5
11,3
13,2
13,4
12,3
12,3
11,3
12,5
11,4
12,2
12,6
12,6
10,3
13,2
12,5
11,3
12,2
12,2
11,3
11,3
13,3
12,2
12,4
14,2
13,2
12,6
13,4
13,2
12,2
12,2
12,4
12,2
12,3
12,4
12,3
12,2
12,5
11,3
14,3
12,4
12,3
11,3
11,3
12,4
12,4
12,3
13,1
12,5
11,4
14,2
13,5
11,4
12,2
13,2
12,2
12,4
12,2
12,4
11,3
11,0
13,0
12,4
12,2
13,0
12,1
12,0
12,1
13,0
12,2
11,3
13,1
13,0
12,4
12,2
13,2
13,2
11,1
12,3
12,1
12,2
12,3
13,1
12,3
12,3
11,3
14,1
12,4
12,1
11,2
12,1
12,2
12,3
12,2
12,2
12,2
13,3
14,1
12,4
12,2
12,2
12,2
12,3
12,2
12,2
12,2
13,4
10,1
12,0
12,5
12,3
13,1
13,2
11,1
12,3
12,1
12,3
12,3
13,2
13,1
11,5
12,4
13,2
12,4
12,2
12,3
12,1
12,3
12,3
13,2
12,4
12,4
10,3
13,1
12,5
12,3
12,2
12,1
12,2
12,3
12,2
12,2
12,3
12,3
