Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
initialize,2025-05-08 14:07:08.483657,0,1,0,0,0,0
2,2025-05-08 14:07:08.483657,0,1,0,0,0,0
2,2025-05-08 14:07:21.321360,19647231169,1,0,0,0,0
2,2025-05-08 14:09:46.237962,19647186244,1,0,0,0,0
2,2025-05-08 14:09:52.507688,19647186244,1,0,32,0,3
2,2025-05-08 14:10:02.968262,19647186244,1,0,0,0,0
2,2025-05-08 14:10:42.188654,19645782,1,0,72,0,7
2,2025-05-08 14:10:57.480821,19645782,1,0,0,0,0
2,2025-05-08 14:12:04.531564,19647181251,1,0,0,0,0
2,2025-05-08 14:12:08.786731,19647181251,1,0,2,0,2
2,2025-05-08 14:12:14.847834,1102000232,1,0,0,0,0
2,2025-05-08 14:12:14.928208,19647181251,1,0,0,0,0
2,2025-05-08 14:13:17.805994,19645782,1,0,5,0,1
2,2025-05-08 14:13:29.945581,19645782,1,0,1,0,1
2,2025-05-08 14:13:31.864933,19645782,1,0,0,0,0
2,2025-05-08 14:14:13.835666,19644207130,1,0,0,0,0
2,2025-05-08 14:14:23.592696,19644207130,1,0,0,0,0
2,2025-05-08 14:16:04.618514,19647181251,1,0,0,0,0
2,2025-05-08 14:16:06.826376,19647181251,1,0,10,0,1
2,2025-05-08 14:16:09.560586,19647181251,1,0,0,0,0
2,2025-05-08 14:16:26.883475,19647186244,1,0,12,0,3
2,2025-05-08 14:16:40.096364,19647186244,1,0,0,0,0
2,2025-05-08 14:17:16.196819,19645782,1,0,52,0,4
2,2025-05-08 14:17:22.274332,19645782,1,0,0,0,0
2,2025-05-08 14:21:11.020820,19647181251,1,0,0,0,0
2,2025-05-08 14:21:15.563361,19647181251,1,0,0,0,0
2,2025-05-08 14:21:19.898374,19644194143,1,0,0,0,0
2,2025-05-08 14:21:25.800903,19644194143,1,140,88,9,6
2,2025-05-08 14:21:38.948342,19644194143,1,0,0,0,0
2,2025-05-08 14:22:23.446722,19644207130,1,0,0,0,0
2,2025-05-08 14:22:25.718116,19644207130,1,0,0,0,0
2,2025-05-08 14:23:36.257323,1102000232,1,0,0,0,0
2,2025-05-08 14:23:36.321250,19644194143,1,0,0,0,0
2,2025-05-08 14:23:43.966928,19644194143,1,0,0,0,0
2,2025-05-08 14:23:53.931439,19647186244,1,0,0,0,0
2,2025-05-08 14:24:19.668432,19645782,1,0,3,0,1
2,2025-05-08 14:24:24.498267,19645782,1,3,0,1,0
2,2025-05-08 14:24:45.644430,19645782,1,0,0,0,0
2,2025-05-08 14:26:38.554031,19645782,1,0,0,0,0
2,2025-05-08 14:26:56.884126,19645782,1,0,0,0,0
2,2025-05-08 14:35:10.671294,19644194143,1,0,0,0,0
2,2025-05-08 14:35:13.086851,19644194143,1,0,15,0,1
initialize,2025-05-08 15:10:08.406991,0,1,0,0,0,0
2,2025-05-08 15:10:08.406991,0,1,0,0,0,0
2,2025-05-08 15:14:53.111199,19647181251,1,0,0,0,0
2,2025-05-08 15:17:45.155106,19645782,1,1,0,1,0
2,2025-05-08 15:18:00.542065,19645782,1,0,0,0,0
2,2025-05-08 15:18:02.109329,19645782,1,0,0,0,0
2,2025-05-08 15:18:08.091212,19647181251,1,0,1,0,1
2,2025-05-08 15:18:12.010448,19647181251,1,0,0,0,0
2,2025-05-08 15:53:17.311911,19644207130,1,0,0,0,0
2,2025-05-08 15:53:33.257254,19644207130,1,0,0,0,0
2,2025-05-08 15:53:56.692485,19644194143,1,0,84,0,6
2,2025-05-08 15:54:15.135283,1102000232,1,0,1,0,0
2,2025-05-08 15:54:15.196604,19644194143,1,0,92,0,5
2,2025-05-08 15:55:09.565344,19647186244,1,0,43,0,4
