Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
initialize,2025-08-05 10:54:34.092587,0,1,0,0,0,0
initialize,2025-08-05 10:54:34.092596,0,2,0,0,0,0
0,2025-08-05 10:54:34.092596,0,2,0,0,0,0
0,2025-08-05 10:54:40.940273,1111111199198,2,0,51,0,6
initialize,2025-08-05 10:55:37.936890,0,1,0,0,0,0
initialize,2025-08-05 10:55:37.936899,0,2,0,0,0,0
0,2025-08-05 10:55:37.936899,0,2,0,0,0,0
0,2025-08-05 10:55:40.867922,1111111199198,2,0,2531,0,106
0,2025-08-05 10:58:17.012484,1111111199198,2,0,0,0,0
0,2025-08-05 10:58:52.068924,1111111199198,2,8140,0,186,0
0,2025-08-05 11:02:15.737092,1111111199198,2,0,0,0,0
0,2025-08-05 11:07:08.474237,1111111199198,2,14516,62,287,8
initialize,2025-08-05 11:15:32.801524,0,1,0,0,0,0
initialize,2025-08-05 11:15:32.801534,0,2,0,0,0,0
initialize,2025-08-05 11:24:13.097187,0,1,0,0,0,0
initialize,2025-08-05 11:24:13.097199,0,2,0,0,0,0
0,2025-08-05 11:24:13.097199,0,2,0,0,0,0
0,2025-08-05 11:24:16.140657,1111111199198,2,0,0,0,0
0,2025-08-05 11:24:13.097187,0,1,1608,0,83,0
initialize,2025-08-05 11:28:06.253200,0,1,0,0,0,0
initialize,2025-08-05 11:28:06.253209,0,2,0,0,0,0
0,2025-08-05 11:28:06.253209,0,2,0,0,0,0
0,2025-08-05 11:28:06.896113,1111111199198,2,31,0,4,0
initialize,2025-08-05 16:10:28.885838,0,1,0,0,0,0
initialize,2025-08-05 16:10:28.885849,0,2,0,0,0,0
0,2025-08-05 16:10:28.885849,0,2,0,0,0,0
0,2025-08-05 16:10:29.817684,1111111199198,2,0,0,0,0
initialize,2025-08-05 16:16:35.272543,0,1,0,0,0,0
initialize,2025-08-05 16:16:35.272553,0,2,0,0,0,0
0,2025-08-05 16:16:35.272553,0,2,0,0,0,0
0,2025-08-05 16:16:41.090165,1111111199198,2,0,0,0,0
0,2025-08-05 16:16:42.577134,1111111199198,2,42,0,11,0
initialize,2025-08-05 16:19:47.063923,0,1,0,0,0,0
initialize,2025-08-05 16:19:47.063931,0,2,0,0,0,0
0,2025-08-05 16:19:47.063931,0,2,0,0,0,0
0,2025-08-05 16:19:47.405129,1111111199198,2,0,0,0,0
0,2025-08-05 16:19:51.626497,1111111199198,2,256,0,11,0
0,2025-08-05 16:20:21.791738,1111111199198,2,0,0,0,0
0,2025-08-05 16:21:08.231436,1111111199198,2,22,0,3,0
0,2025-08-05 16:21:38.155478,1111111199198,2,0,0,0,0
0,2025-08-05 16:21:39.194188,1111111199198,2,112,0,10,0
0,2025-08-05 16:22:29.357700,1111111199198,2,0,0,0,0
0,2025-08-05 16:22:53.080563,1111111199198,2,177,0,10,0
initialize,2025-08-05 16:31:24.423768,0,A,0,0,0,0
initialize,2025-08-05 16:31:24.423784,0,B,0,0,0,0
initialize,2025-08-05 16:31:38.596357,0,A,0,0,0,0
initialize,2025-08-05 16:31:38.596366,0,B,0,0,0,0
initialize,2025-08-05 16:32:15.165300,0,A,0,0,0,0
initialize,2025-08-05 16:32:15.165308,0,B,0,0,0,0
initialize,2025-08-05 16:32:40.237716,0,A,0,0,0,0
initialize,2025-08-05 16:32:40.237725,0,B,0,0,0,0
0,2025-08-05 16:32:40.237716,0,A,0,0,0,0
0,2025-08-05 16:32:41.963176,1111111199198,A,0,0,0,0
0,2025-08-05 16:32:40.237725,0,B,3,5,1,1
initialize,2025-08-05 16:33:09.729200,0,A,0,0,0,0
initialize,2025-08-05 16:33:09.729209,0,B,0,0,0,0
0,2025-08-05 16:33:09.729200,0,A,0,0,0,0
0,2025-08-05 16:33:13.883303,1111111199198,A,3,3,1,1
0,2025-08-05 16:33:16.697783,1111111199198,A,0,3,0,1
0,2025-08-05 16:33:09.729209,0,B,0,0,0,0
0,2025-08-05 16:33:19.015498,1111111199198,A,1,0,1,0
0,2025-08-05 16:33:47.966111,1111111199198,B,18,15,1,1
0,2025-08-05 16:33:51.322214,1111111199198,A,0,0,0,0
0,2025-08-05 16:34:16.484710,1111111199198,A,11,0,3,0
0,2025-08-05 16:34:49.415914,1111111199198,A,0,0,0,0
0,2025-08-05 16:34:50.837846,1111111199198,A,15,0,2,0
0,2025-08-05 16:34:54.483650,1111111199198,A,0,13,0,2
0,2025-08-05 16:34:04.798208,1111111199198,B,0,0,0,0
0,2025-08-05 16:36:14.941689,1111110210210,B,34,0,4,0
0,2025-08-05 16:36:25.971465,1111110210210,B,0,52,0,4
initialize,2025-08-05 16:42:35.842069,0,A,0,0,0,0
initialize,2025-08-05 16:42:35.842078,0,B,0,0,0,0
